key,value
HD01_VD26,All
HD01_VD27,Under 5 years
HD01_VD28,5 to 9 years
HD01_VD29,10 to 14 years
HD01_VD30,15 to 17 years
HD01_VD31,18 and 19 years
HD01_VD32,20 years
HD01_VD33,21 years
HD01_VD34,22 to 24 years
HD01_VD35,25 to 29 years
HD01_VD36,30 to 34 years
HD01_VD37,35 to 39 years
HD01_VD38,40 to 44 years
HD01_VD39,45 to 49 years
HD01_VD40,50 to 54 years
HD01_VD41,55 to 59 years
HD01_VD42,60 and 61 years
HD01_VD43,62 to 64 years
HD01_VD44,65 and 66 years
HD01_VD45,67 to 69 years
HD01_VD46,70 to 74 years
HD01_VD47,75 to 79 years
HD01_VD48,80 to 84 years
HD01_VD49,85 years and over